이름,영문,구분,소재지,설립연도,위키번호,홈페이지,위키링크,로고,소개문,학과,설립구분,동문,일본어 이름
"Aalto University School of Arts, Design and Architecture","Aalto University School of Arts, Design and Architecture",예술대학,핀란드 · 헬싱키,1871,Q2591673,http://arts.aalto.fi/en/,"https://en.wikipedia.org/wiki/Aalto_University_School_of_Arts,_Design_and_Architecture",http://commons.wikimedia.org/wiki/Special:FilePath/Aalto%20University%20School%20of%20Art%20and%20Design.svg,"Aalto University School of Arts, Design and Architecture (Finnish: Aalto-yliopiston taiteiden ja suunnittelun korkeakoulu; Swedish: Aalto-universitetets högskola för konst, design och arkitektur) was formed of two separate schools: the faculty of architecture (previously part of the Helsinki University of Technology) and the University of Art and Design Helsinki (UIAH, known in Finnish as TaiK). TaiK, founded in 1871, was the largest art university in the Nordic countries. The university awards the following academic degrees: Bachelor of Science in Technology, Architect, Bachelor of Arts, Master of Arts, and Doctor of Arts.
The university is known for its research projects and industrial collaborations. During the rectorship of Yrjö Sotamaa the university was active in integrating design into Finnish innovation and business networks. This eventually led to the decision to merge TaiK together with Helsinki University of Technology (TKK) and the Helsinki School of Economics (HSE) into a new charter university, Aalto University, which started in January 2010.
In the global QS World University Rankings in 2021, the Aalto University School of Arts, Design and Architecture was placed 6th",null,null,"레니 할린, Aleksi Salmenperä, Armi Ratia, Ilmari Tapiovaara",null
Académie Colarossi,Académie Colarossi,예술대학,프랑스 · 파리 6구,1870,Q337454,http://www.grande-chaumiere.fr/,https://en.wikipedia.org/wiki/Acad%C3%A9mie_Colarossi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Academy-colarossi-paris-rue-grand-chaumiere-montparnasse-amedeo-modigliani.jpg/500px-Academy-colarossi-paris-rue-grand-chaumiere-montparnasse-amedeo-modigliani.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The Académie Colarossi (1870–1930) was an art school in Paris founded in 1870 by the Italian model and sculptor Filippo Colarossi. It was originally located on the Île de la Cité, and it moved in 1879 to 10 rue de la Grande-Chaumière in the 6th arrondissement. The school closed in the 1930s.


== History ==
A precursor art school in the same location was the Académie Suisse, founded in 1815. The former Académie Suisse location on the Île de la Cité was bought by Italian sculptor Filippo Colarossi in 1870, and in 1879 it moved to 10 rue de la Grande-Chaumière in the 6th arrondissement.
The Académie was established in the 19th century as an alternative to the government-sanctioned École des Beaux Arts that had, in the eyes of many promising young artists at the time, become far too conservative. Along with its equivalent Académie Julian, and unlike the official École des Beaux Arts, the Colarossi school accepted female students and allowed them to draw from the nude male model.
Around 1879, two salon painters taught the Académie classes, the Japanese-influenced painter Raphaël Collin and French academic-style painter Gustave Courtois. Among its other instructors were the influential ",null,null,"Julie Wolfthorn, 카미유 클로델, 에밀 쉬프네케르, 에밀리 카",null
Académie de Saint-Luc,Académie de Saint-Luc,예술대학,프랑스 · 파리,1391,Q337486,,https://en.wikipedia.org/wiki/Acad%C3%A9mie_de_Saint-Luc,,"The Académie de Saint-Luc (French pronunciation: [akademi də sɛ̃ lyk]; English: ""Academy of Saint Luke"") was a guild of painters and sculptors set up in Paris in 1391, and dissolved in 1776. It was created by the Provost of Paris, along the lines of the Guilds of Saint Luke in other parts of Europe.
In 1648, a group of artists with royal patronage, led by Charles Le Brun, successfully persuaded the court of King Louis XIV to support the creation of the Académie Royale de Peinture et de Sculpture, an art institution with different membership criteria that became a rival to the Académie de Saint-Luc.
The Académie de Saint-Luc remained successful in subsequent years by attracting artists who did not have access to the Académie Royale de Peinture et de Sculpture. This was particularly the case for women artists. In the 18th century, there were 130 female members of the Académie de Saint-Luc, many more than at the Académie Royale, which in 1783 limited its female members to four.
In the 1770s, the success of the Académie de Saint-Luc provoked the enmity of the Academie Royale, which complained to the King and petitioned for the closure of their rival. The Académie de Saint-Luc was close",null,null,"자크루이 다비드, 장바티스트시메옹 샤르댕, 프랑수아앙드레 뱅상, 장바티스트 우드리",null
Académie Ranson,Académie Ranson,예술대학,프랑스 · 파리,1908,Q2582507,,https://en.wikipedia.org/wiki/Acad%C3%A9mie_Ranson,https://upload.wikimedia.org/wikipedia/commons/9/98/Ranson_serusier.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,"The Académie Ranson was a private art school founded  in 1908 in Paris by the French painter Paul Ranson (1862–1909).  


== History ==
The Académie Ranson was founded in 1908 by Paul Ranson (1862–1909), who himself studied at the Académie Julian.
With the untimely death of Paul Ranson in 1909, the Academy was headed by the wife of its founder, Marie-France Ranson. It was first based in Rue Henri Monnier in the 9th arrondissement and then moved to the Montparnasse district, in the Rue Joseph Bara. Maurice Denis and Paul Sérusier delivered courses and Ker-Xavier Roussel, Félix Vallotton, and Édouard Vuillard also attended, which gave it a good reputation. Concetta, former model of Edgar Degas for Les repasseuses and Auguste Rodin for The Kiss, helped its reputation too. Students attended for periods from a week to a year.
In 1914, its teachers were depleted due to World War I, but the Académie Ranson survived despite declining attendance. After 1918, Maurice Denis and Paul Sérusier were occupied with other activities, and new teachers took over, many of them alumni: Yves Alix, Gustave Jaulmes, Paul Vera, Jules-Émile Zingg, Roger Bissière, Louis Latapie, Dimitrios Galanis, and Amédée",null,null,"마르셀 그로메르, Roger de La Fresnaye, Charlotte van Pallandt",null
Academy of Fine Arts and Design in Bratislava,Academy of Fine Arts and Design in Bratislava,예술대학,슬로바키아 · 브라티슬라바,1949,Q2822379,http://www.vsvu.sk,"https://en.wikipedia.org/wiki/Academy_of_Fine_Arts_and_Design,_Bratislava",https://upload.wikimedia.org/wikipedia/en/0/02/Academy_of_Fine_Arts_and_Design_in_Bratislava_Logo.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,"The Academy of Fine Arts and Design, Bratislava (AFAD; Slovak: Vysoká škola výtvarných umení v Bratislave, VŠVU) is an academy in Bratislava, Slovakia.
It was founded in 1949 at the dawn of totalitarian regime in the former Czechoslovak Socialist Republic. For next forty years, the institution was under the pressure of political doctrine promoting so-called socialist realism in arts, as well as suffering the political purges affecting badly the whole society. In spite of troubled historical development and atmosphere of repression, at AFAD there were few spheres of so-called ""positive deviation"". The resistance to the orthodoxy of socialist realism was made possible thanks to the intellectual and artistic background of some of the professors and their personal approach to their students. After years of totalitarianism, in 1989 the AFAD was one of the few higher education institutions in the country where the whole teaching staff was re-selected in an open competition. Since then many changes in educational
profile and academic life of students and faculty had been taking place. As a result, today the AFAD is a present—day oriented school offering study in three levels (bachelor, ma",null,null,"Albín Brunovský, Jozef Kabaň",null
"Academy of Fine Arts and Design, Ljubljana","Academy of Fine Arts and Design, Ljubljana",예술대학,슬로베니아,1945,Q4671463,http://www.aluo.uni-lj.si/,https://en.wikipedia.org/wiki/Academy_of_Fine_Arts_and_Design,,"The Academy of Fine Arts and Design (Slovene: Akademija za likovno umetnost in oblikovanje, also known by the acronym ALUO), is an art academy and institution based in Ljubljana, Slovenia. It is part of the University of Ljubljana.
From 1945 to 1961, Božidar Jakac taught graphic arts at the academy, and also served as a dean three times. The current dean of the academy is prof. Alen Ožbolt.


== Notable faculty ==
Jože Ciuha (1924–2015)
Božidar Jakac (1899–1989)
Boris Kalin (1905–1975)
Gojmir Anton Kos (1896–1970)
Adriana Maraž (1931-2015)
Miki Muster (1925-2018)
Igor Torkar (1913–2004)


== References ==


== External links ==
Academy of Fine Arts and Design - homepage
 Media related to Academy of Fine Arts and Design (University of Ljubljana) at Wikimedia Commons",null,null,Miki Muster,null
Academy of Fine Arts Bruges,Academy of Fine Arts Bruges,예술대학,벨기에 · 브뤼허,1717,Q4648351,,,,,null,null,"Joseph Denis Odevaere, Joseph-Benoît Suvée",null
Academy of Fine Arts in Carrara,Academy of Fine Arts in Carrara,예술대학,이탈리아 · 카라라,,Q3604016,http://www.accademiacarrara.it,https://en.wikipedia.org/wiki/Accademia_di_Belle_Arti_di_Carrara,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Carrara-accademia_belle_arti3.jpg/500px-Carrara-accademia_belle_arti3.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The Accademia di Belle Arti di Carrara is a public tertiary academy of art in Carrara, in Tuscany in central Italy. It was founded on 26 September 1769 by Maria Teresa Cybo-Malaspina, duchess of Massa and princess of Carrara; but its origins go back to 1757, when, on the advice of the sculptor Giovanni Domenico Olivieri, she founded the Accademia di San Ceccardo in which sculpture, architecture and painting were to be taught. To house it, she commissioned Filippo del Medico to design and build a new building (which is now the Biblioteca Civica); in 1807, by order of Elisa Bonaparte Baciocchi, the accademia was moved to the Palazzo Cybo Malaspina. The school of architecture was at first under Filippo del Medico; Giovanni Antonio Cybei was head of the school of sculpture.
Like other state art academies in Italy, it became an autonomous degree-awarding institution under law no. 508 dated 21 December 1999, and falls under the Ministero dell'Istruzione, dell'Universita e della Ricerca, the Italian ministry of education and research.


== References ==",null,null,,null
Academy of Fine Arts Münster,Academy of Fine Arts Münster,예술대학,독일 · 뮌스터,1971,Q1792343,http://www.kunstakademie-muenster.de/,,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20KunstakademieMuenster.svg,,null,null,,null
Academy of Fine Arts of Parma,Academy of Fine Arts of Parma,예술대학,이탈리아 · 파르마,1757,Q3604017,https://accademianazionalebelleartiparma.it,https://en.wikipedia.org/wiki/Academy_of_Fine_Arts_of_Parma,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Istituto_d%27Arte_Parma.JPG/500px-Istituto_d%27Arte_Parma.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The Accademia di Belle Arti di Parma (Academy of Fine Arts of Parma) is an artistic institution in the city of Parma, Italy. It is presently located in a wing of the Palazzo della Pilotta in the center of the city.


== History ==
The Academy originated in 1752, as a private art school called the Scuola Lombarda. Five years later, it was reorganized as an academy under the patronage of Phillip of Bourbon, Duke of Parma. During the Napoleonic occupation of 1803-1814, it was suppressed, but was reinstated under the patronage of Maria Louisa of Austria in 1816. Engraving was made one of the cornerstones of the curriculum in 1822. Paolo Toschi became the Director at that time and served until 1850.
After 1877, it underwent a variety of changes: splitting into several separate departments, including a school of applied industry. In 1923, it was refounded as the Regio Istituto d'arte Paolo Toschi, and in 1936, Regia accademia di belle arti, and in 1973 as an Accademia nazionale di belle arti. Since 2011 it has been called the Liceo Artistico Statale Paolo Toschi. The academy is associated with a series of museums displaying artworks from Parma.


== References ==",null,null,,null
